auc,f1,accuracy,model,split,seed,dataset
0.690625,0.3333333333333333,0.8409090909090909,ResNet,temporal,123,promise_ivy
0.765224358974359,0.35,0.8522727272727273,FTTransformer,temporal,123,promise_ivy
0.780982905982906,0.44155844155844154,0.6950354609929078,LogReg,random,456,promise_ivy
0.7943376068376069,0.1935483870967742,0.8226950354609929,RandomForest,random,456,promise_ivy
0.7464387464387465,0.358974358974359,0.8226950354609929,XGBoost,random,456,promise_ivy
0.738960113960114,0.16216216216216217,0.7801418439716312,LightGBM,random,456,promise_ivy
0.7759971509971509,0.40816326530612246,0.7943262411347518,SimpleMLP,random,456,promise_ivy
0.701923076923077,0.2608695652173913,0.7588652482269503,ResNet,random,456,promise_ivy
0.7966524216524217,0.13793103448275862,0.8226950354609929,FTTransformer,random,456,promise_ivy
0.6827724358974359,0.294478527607362,0.6732954545454546,LogReg,temporal,456,promise_ivy
0.7745993589743589,0.20689655172413793,0.8693181818181818,RandomForest,temporal,456,promise_ivy
0.6954326923076922,0.3181818181818182,0.8295454545454546,XGBoost,temporal,456,promise_ivy
0.7342147435897436,0.29333333333333333,0.8494318181818182,LightGBM,temporal,456,promise_ivy
0.7223557692307692,0.30434782608695654,0.8181818181818182,SimpleMLP,temporal,456,promise_ivy
0.5778044871794872,0.24,0.8380681818181818,ResNet,temporal,456,promise_ivy
0.7970352564102564,0.3880597014925373,0.8835227272727273,FTTransformer,temporal,456,promise_ivy
0.8136025866470021,0.4888888888888889,0.7371428571428571,LogReg,random,42,promise_jedit
0.8071643314992342,0.38095238095238093,0.8142857142857143,RandomForest,random,42,promise_jedit
0.8144534573713766,0.37735849056603776,0.8114285714285714,XGBoost,random,42,promise_jedit
0.8056044018378806,0.37254901960784315,0.8171428571428572,LightGBM,random,42,promise_jedit
0.8478075897668614,0.42105263157894735,0.8428571428571429,SimpleMLP,random,42,promise_jedit
0.7897214816495547,0.34408602150537637,0.8257142857142857,ResNet,random,42,promise_jedit
0.8092915083101708,0.4077669902912621,0.8257142857142857,FTTransformer,random,42,promise_jedit
0.6565866565866566,0.07608695652173914,0.6544715447154471,LogReg,temporal,42,promise_jedit
0.8122283122283123,0.13513513513513514,0.8699186991869918,RandomForest,temporal,42,promise_jedit
0.8920808920808921,0.1348314606741573,0.8434959349593496,XGBoost,temporal,42,promise_jedit
0.8565488565488565,0.1411764705882353,0.8516260162601627,LightGBM,temporal,42,promise_jedit
0.7786807786807787,0.136986301369863,0.8719512195121951,SimpleMLP,temporal,42,promise_jedit
0.6975996975996975,0.10416666666666667,0.8252032520325203,ResNet,temporal,42,promise_jedit
0.7081837081837081,0.13186813186813187,0.8394308943089431,FTTransformer,temporal,42,promise_jedit
0.8000453797719667,0.4823529411764706,0.7485714285714286,LogReg,random,123,promise_jedit
0.8542458449146292,0.4117647058823529,0.8285714285714286,RandomForest,random,123,promise_jedit
0.8306200011344943,0.5137614678899083,0.8485714285714285,XGBoost,random,123,promise_jedit
0.8315843212887855,0.4528301886792453,0.8342857142857143,LightGBM,random,123,promise_jedit
0.8320948437234102,0.38636363636363635,0.8457142857142858,SimpleMLP,random,123,promise_jedit
0.7970956945941347,0.40404040404040403,0.8314285714285714,ResNet,random,123,promise_jedit
0.8120710193431279,0.4090909090909091,0.8514285714285714,FTTransformer,random,123,promise_jedit
0.6565866565866566,0.07608695652173914,0.6544715447154471,LogReg,temporal,123,promise_jedit
0.7884142884142883,0.136986301369863,0.8719512195121951,RandomForest,temporal,123,promise_jedit
0.8733698733698734,0.13793103448275862,0.8475609756097561,XGBoost,temporal,123,promise_jedit
0.8590058590058589,0.13793103448275862,0.8475609756097561,LightGBM,temporal,123,promise_jedit
0.7268947268947269,0.13333333333333333,0.8414634146341463,SimpleMLP,temporal,123,promise_jedit
0.6856926856926856,0.09523809523809523,0.806910569105691,ResNet,temporal,123,promise_jedit
0.69003969003969,0.12631578947368421,0.8313008130081301,FTTransformer,temporal,123,promise_jedit
0.7628906914742752,0.4293785310734463,0.7114285714285714,LogReg,random,456,promise_jedit
0.8180838391287084,0.45098039215686275,0.84,RandomForest,random,456,promise_jedit
0.790685801803846,0.5094339622641509,0.8514285714285714,XGBoost,random,456,promise_jedit
0.7662941743717736,0.41237113402061853,0.8371428571428572,LightGBM,random,456,promise_jedit
0.7852402291678485,0.43564356435643564,0.8371428571428572,SimpleMLP,random,456,promise_jedit
0.7981734641783426,0.4583333333333333,0.8514285714285714,ResNet,random,456,promise_jedit
0.7806455272562255,0.4090909090909091,0.8514285714285714,FTTransformer,random,456,promise_jedit
0.6565866565866566,0.07608695652173914,0.6544715447154471,LogReg,temporal,456,promise_jedit
0.7926667926667927,0.125,0.8577235772357723,RandomForest,temporal,456,promise_jedit
0.8720468720468721,0.1411764705882353,0.8516260162601627,XGBoost,temporal,456,promise_jedit
0.8676998676998677,0.13636363636363635,0.8455284552845529,LightGBM,temporal,456,promise_jedit
0.7231147231147231,0.10752688172043011,0.8313008130081301,SimpleMLP,temporal,456,promise_jedit
0.7378567378567379,0.09615384615384616,0.8089430894308943,ResNet,temporal,456,promise_jedit
0.608013608013608,0.1276595744680851,0.8333333333333334,FTTransformer,temporal,456,promise_jedit
0.741600790513834,0.6666666666666666,0.6624203821656051,LogReg,random,42,promise_lucene
0.7126152832674572,0.7159090909090909,0.6815286624203821,RandomForest,random,42,promise_lucene
0.7091567852437417,0.6820809248554913,0.6496815286624203,XGBoost,random,42,promise_lucene
0.715332674571805,0.6936416184971098,0.6624203821656051,LightGBM,random,42,promise_lucene
0.7432476943346508,0.73224043715847,0.6878980891719745,SimpleMLP,random,42,promise_lucene
0.7033926218708827,0.6627218934911243,0.6369426751592356,ResNet,random,42,promise_lucene
0.7669631093544138,0.6748466257668712,0.6624203821656051,FTTransformer,random,42,promise_lucene
0.7082089820574593,0.6444444444444445,0.6235294117647059,LogReg,temporal,42,promise_lucene
0.6452123260580347,0.65625,0.611764705882353,RandomForest,temporal,42,promise_lucene
0.630757613893783,0.6335078534031413,0.5882352941176471,XGBoost,temporal,42,promise_lucene
0.6299306029988134,0.659846547314578,0.6088235294117647,LightGBM,temporal,42,promise_lucene
0.6697709539390888,0.6595744680851063,0.6235294117647059,SimpleMLP,temporal,42,promise_lucene
0.6412570565603538,0.6033519553072626,0.5823529411764706,ResNet,temporal,42,promise_lucene
0.7503865377009098,0.7749419953596288,0.7147058823529412,FTTransformer,temporal,42,promise_lucene
0.7679512516469038,0.632258064516129,0.6369426751592356,LogReg,random,123,promise_lucene
0.7330368906455863,0.6927374301675978,0.6496815286624203,RandomForest,random,123,promise_lucene
0.7444828722002634,0.7103825136612022,0.6624203821656051,XGBoost,random,123,promise_lucene
0.7426712779973649,0.7032967032967034,0.6560509554140127,LightGBM,random,123,promise_lucene
0.7590579710144928,0.717391304347826,0.6687898089171974,SimpleMLP,random,123,promise_lucene
0.7378129117259552,0.6931818181818182,0.6560509554140127,ResNet,random,123,promise_lucene
0.7600461133069828,0.7333333333333333,0.6942675159235668,FTTransformer,random,123,promise_lucene
0.7082089820574593,0.6444444444444445,0.6235294117647059,LogReg,temporal,123,promise_lucene
