auc,f1,accuracy,model,dataset,protocol,fold_id,seed
0.8153735632183909,0.3389830508474576,0.8668941979522184,ResNet,promise_ant,walkforward,2,42
0.7645836830619439,0.2542372881355932,0.7492877492877493,RandomForest,promise_ant,walkforward,3,42
0.7616249790162833,0.27350427350427353,0.7578347578347578,LightGBM,promise_ant,walkforward,3,42
0.7811818029209333,0.5680473372781065,0.792022792022792,SimpleMLP,promise_ant,walkforward,3,42
0.756882659056572,0.2782608695652174,0.7635327635327636,ResNet,promise_ant,walkforward,3,42
0.7763853340824438,0.42105263157894735,0.8080536912751678,RandomForest,promise_ant,walkforward,4,42
0.7567732068169049,0.45185185185185184,0.8013422818791947,LightGBM,promise_ant,walkforward,4,42
0.7794702124560418,0.5388888888888889,0.7771812080536913,SimpleMLP,promise_ant,walkforward,4,42
0.7912270845038185,0.411522633744856,0.8080536912751678,ResNet,promise_ant,walkforward,4,42
0.5505479969765684,0.02702702702702703,0.6447368421052632,RandomForest,promise_camel,walkforward,1,42
0.5493433484504913,0.05286343612334802,0.6463815789473685,LightGBM,promise_camel,walkforward,1,42
0.5248960695389266,0.2550335570469799,0.6348684210526315,SimpleMLP,promise_camel,walkforward,1,42
0.5007794784580499,0.036036036036036036,0.6480263157894737,ResNet,promise_camel,walkforward,1,42
0.7585305696532751,0.4180064308681672,0.7924311926605505,RandomForest,promise_camel,walkforward,2,42
0.735597400749419,0.4431137724550898,0.786697247706422,LightGBM,promise_camel,walkforward,2,42
0.6934212398614998,0.3785488958990536,0.7740825688073395,SimpleMLP,promise_camel,walkforward,2,42
0.6882322250154153,0.15853658536585366,0.841743119266055,ResNet,promise_camel,walkforward,2,42
0.7125845450313535,0.3509933774834437,0.7968911917098446,RandomForest,promise_camel,walkforward,3,42
0.7243763520359265,0.3684210526315789,0.8010362694300518,LightGBM,promise_camel,walkforward,3,42
0.6789410991538651,0.37850467289719625,0.7243523316062176,SimpleMLP,promise_camel,walkforward,3,42
0.7051603275007531,0.26717557251908397,0.8010362694300518,ResNet,promise_camel,walkforward,3,42
0.747638888888889,0.18571428571428572,0.5269709543568465,RandomForest,promise_ivy,walkforward,1,42
0.7380555555555556,0.19696969696969696,0.5601659751037344,LightGBM,promise_ivy,walkforward,1,42
0.7863888888888888,0.23853211009174313,0.6556016597510373,SimpleMLP,promise_ivy,walkforward,1,42
0.8052777777777778,0.22900763358778625,0.5809128630705395,ResNet,promise_ivy,walkforward,1,42
0.7721554487179487,0.3548387096774194,0.8863636363636364,RandomForest,promise_ivy,walkforward,2,42
0.7357371794871795,0.28205128205128205,0.8409090909090909,LightGBM,promise_ivy,walkforward,2,42
0.7508814102564102,0.3709677419354839,0.7784090909090909,SimpleMLP,promise_ivy,walkforward,2,42
0.7220352564102565,0.2608695652173913,0.8551136363636364,ResNet,promise_ivy,walkforward,2,42
0.8289177489177489,0.6035502958579881,0.7810457516339869,RandomForest,promise_jedit,walkforward,1,42
0.813997113997114,0.5847953216374269,0.7679738562091504,LightGBM,promise_jedit,walkforward,1,42
0.7809235209235209,0.5524861878453039,0.7352941176470589,SimpleMLP,promise_jedit,walkforward,1,42
0.7312842712842712,0.4563758389261745,0.7352941176470589,ResNet,promise_jedit,walkforward,1,42
0.8543217254305427,0.6081081081081081,0.8141025641025641,RandomForest,promise_jedit,walkforward,2,42
0.8506003150975172,0.6274509803921569,0.8173076923076923,LightGBM,promise_jedit,walkforward,2,42
0.8252295322431683,0.5652173913043478,0.7435897435897436,SimpleMLP,promise_jedit,walkforward,2,42
0.8069212799478459,0.5174825174825175,0.7788461538461539,ResNet,promise_jedit,walkforward,2,42
0.8606648380355277,0.5,0.8365122615803815,RandomForest,promise_jedit,walkforward,3,42
0.8575626959247649,0.4806201550387597,0.8174386920980926,LightGBM,promise_jedit,walkforward,3,42
0.8644200626959248,0.43636363636363634,0.7465940054495913,SimpleMLP,promise_jedit,walkforward,3,42
0.8565177638453499,0.5132743362831859,0.8501362397820164,ResNet,promise_jedit,walkforward,3,42
0.8122283122283123,0.13513513513513514,0.8699186991869918,RandomForest,promise_jedit,walkforward,4,42
0.8565488565488565,0.1411764705882353,0.8516260162601627,LightGBM,promise_jedit,walkforward,4,42
0.6745416745416746,0.0875,0.7032520325203252,SimpleMLP,promise_jedit,walkforward,4,42
0.6845586845586845,0.13157894736842105,0.8658536585365854,ResNet,promise_jedit,walkforward,4,42
0.6537216828478966,0.6290322580645161,0.6275303643724697,RandomForest,promise_lucene,walkforward,1,42
0.6348435814455231,0.6008230452674898,0.6072874493927125,LightGBM,promise_lucene,walkforward,1,42
0.6485302049622437,0.47706422018348627,0.5384615384615384,SimpleMLP,promise_lucene,walkforward,1,42
0.651564185544768,0.5178571428571429,0.562753036437247,ResNet,promise_lucene,walkforward,1,42
0.6452123260580347,0.65625,0.611764705882353,RandomForest,promise_lucene,walkforward,2,42
0.6299306029988134,0.659846547314578,0.6088235294117647,LightGBM,promise_lucene,walkforward,2,42
0.7425838696918486,0.7315789473684211,0.7,SimpleMLP,promise_lucene,walkforward,2,42
0.6982848513178239,0.6358381502890174,0.6294117647058823,ResNet,promise_lucene,walkforward,2,42
0.5067323641330861,0.226890756302521,0.4140127388535032,RandomForest,promise_poi,walkforward,1,42
0.5274173090057567,0.21008403361344538,0.4012738853503185,LightGBM,promise_poi,walkforward,1,42
0.5189286759683871,0.16071428571428573,0.4012738853503185,SimpleMLP,promise_poi,walkforward,1,42
0.5183432530002927,0.2,0.31210191082802546,ResNet,promise_poi,walkforward,1,42
0.5852955027077937,0.27906976744186046,0.43636363636363634,RandomForest,promise_poi,walkforward,2,42
0.6051036025429716,0.19310344827586207,0.3922077922077922,LightGBM,promise_poi,walkforward,2,42
0.700141276194961,0.40816326530612246,0.4727272727272727,SimpleMLP,promise_poi,walkforward,2,42
0.7536790675771133,0.0622568093385214,0.37402597402597404,ResNet,promise_poi,walkforward,2,42
0.6997082292610685,0.654320987654321,0.6199095022624435,RandomForest,promise_poi,walkforward,3,42
0.701808094427621,0.5707865168539326,0.5678733031674208,LightGBM,promise_poi,walkforward,3,42
0.755409915784355,0.6233183856502242,0.6199095022624435,SimpleMLP,promise_poi,walkforward,3,42
0.7168166044075065,0.57847533632287,0.5746606334841629,ResNet,promise_poi,walkforward,3,42
0.41617762128325514,0.7884057971014493,0.6588785046728972,RandomForest,promise_velocity,walkforward,1,42
0.5257237871674492,0.783625730994152,0.6542056074766355,LightGBM,promise_velocity,walkforward,1,42
0.3615023474178404,0.6578947368421053,0.514018691588785,SimpleMLP,promise_velocity,walkforward,1,42
0.4738849765258216,0.7652173913043478,0.6214953271028038,ResNet,promise_velocity,walkforward,1,42
0.6012056376294787,0.5897435897435898,0.5807860262008734,RandomForest,promise_velocity,walkforward,2,42
0.6543555781966378,0.575,0.5545851528384279,LightGBM,promise_velocity,walkforward,2,42
0.6492613346917983,0.5365853658536586,0.5851528384279476,SimpleMLP,promise_velocity,walkforward,2,42
0.6754117846833079,0.5360824742268041,0.4104803493449782,ResNet,promise_velocity,walkforward,2,42
